model,fold,n_train_rows,n_test_rows,n_train_systems,n_test_systems,observation_mean,prediction_mean,prediction_min,prediction_max,nRMSE,MAE,MBE
training_mean,1,1134334,235857,29,8,0.22191034606192606,0.22261972160413193,0.222619721604132,0.222619721604132,0.21226954997656292,0.17768671266417224,0.0007093755422059922
training_mean,2,1074653,295538,29,8,0.2250328660636207,0.22180039939079776,0.22180039939079757,0.22180039939079757,0.21915860955290076,0.18258296293376886,-0.0032324666728231607
training_mean,3,1075610,294581,30,7,0.23198322546474437,0.21989975663725647,0.21989975663725628,0.21989975663725628,0.22034650833448233,0.18342006744961625,-0.012083468827488078
training_mean,4,1126795,243396,30,7,0.22250407330274727,0.22249621834640185,0.2224962183464017,0.2224962183464017,0.21187221473984227,0.177473620249471,-7.85495634559345e-06
training_mean,5,1069372,300819,30,7,0.21117317772203822,0.22568322681729397,0.2256832268172941,0.2256832268172941,0.21642780140458703,0.18126205214890695,0.014510049095255913
ghi_physics,1,1134334,235857,29,8,0.22191034606192606,0.20716222429731776,1.2426894287328571e-08,1.1429042972491412,0.12343229457429357,0.07629601166990847,-0.014748121764608275
ghi_physics,2,1074653,295538,29,8,0.2250328660636207,0.20227524157864463,1.2327811337125642e-08,1.1337916157574737,0.12923206977837898,0.08149477731307224,-0.022757624484976115
ghi_physics,3,1075610,294581,30,7,0.23198322546474437,0.19580787988489687,1.2177194474806566e-08,1.1199393486340474,0.12736275739053818,0.08080253398989486,-0.036175345579847494
ghi_physics,4,1126795,243396,30,7,0.22250407330274727,0.20608478705885708,1.2396409159890891e-08,1.140100573137137,0.11831742955531663,0.07396133173510128,-0.01641928624389023
ghi_physics,5,1069372,300819,30,7,0.21117317772203822,0.19918550874402746,1.2426149808429822e-08,1.1428358273553032,0.13234590836297877,0.08413920952207532,-0.01198766897801077
