model,fold,station,n_test_rows,nRMSE,MAE,MBE
training_mean,3,Indoor_Sport_Center,36201,0.2211116926251925,0.18774635695939323,0.014376999041133329
training_mean,3,LSK_North,45453,0.22659446405507994,0.18767328876954925,-0.028698862170975333
training_mean,4,LSK_South,43093,0.23971929834515984,0.19688679473072068,-0.03990308549123727
training_mean,4,Library,26626,0.20066597477801526,0.16903368001687677,0.006843538633996831
training_mean,1,SQ1,45224,0.21581223137557518,0.18058542349545434,-0.01244105152776972
training_mean,3,SQ2,45455,0.220664522376263,0.18147662024285408,-0.013940348060303104
training_mean,1,SQ3,45458,0.2176985071124305,0.18057663743045663,-0.00697617598541585
training_mean,5,SQ4,45460,0.2348976410240741,0.1937067332660326,-0.028077573474423204
training_mean,2,SQ567,43841,0.23261632469448962,0.19316921500313253,-0.029020457182921167
training_mean,2,SQ_Apartment13_24,42174,0.22952613140238548,0.19132951438862758,-0.0209535489494333
training_mean,5,SQ_Apartment1_12,42169,0.2307658019411485,0.1927179403161885,-0.01889000957280511
training_mean,3,SQ_Apartment25_36,42173,0.22489301002021478,0.18753172681550687,-0.017729644791364577
training_mean,2,SQ_Apartment37_48,41930,0.2201126540420408,0.1829948391766571,-0.009316472674232482
training_mean,1,SQ_Block_P,7922,0.22763539591160803,0.18749221147113468,-0.019748675438588867
training_mean,5,SQ_Block_R,37678,0.23081942924027737,0.19280431269579895,-0.017344872889837045
training_mean,2,SQ_Block_S,37688,0.22068060846192608,0.1833165699209587,-0.007774232066986466
training_mean,2,S_H_Ho_Sports_Hall,35975,0.18657075544299376,0.1593633020863739,0.059831816722774406
training_mean,1,Shaw_Auditorium,6711,0.21400923087791573,0.1792946349595053,-0.01684181060962509
training_mean,5,UG_Hall2_2F,43291,0.17109730456020894,0.1506540924681718,0.08872866041458576
training_mean,2,UG_Hall2_RF,43024,0.21157776606494638,0.1762717588748835,0.011199367642915736
training_mean,5,UG_Hall3,43550,0.23590620089939665,0.1976545975884112,-0.015461090774768699
training_mean,3,UG_Hall4,43835,0.21945050259407442,0.18265959806688384,-0.015806021365144605
training_mean,5,UG_Hall6,45440,0.22458140061250245,0.1870307823980226,-0.014414497749543271
training_mean,4,UG_Hall7,45456,0.19416433577677422,0.16288955435634536,0.023386587960533792
training_mean,2,UG_Hall8,14689,0.2272798842922818,0.1886611721188152,-0.020593454293301974
training_mean,1,UG_Hall9,15560,0.24242818458973717,0.1995141268767658,-0.03739521099663147
training_mean,1,Wong_Check_She_Research_Centre,36363,0.2226387556124149,0.1865937102808272,-0.018719542184220467
training_mean,3,Zone_A1,43774,0.2028441955591893,0.1690756763197505,0.0039655423411409565
training_mean,5,Zone_A2,43231,0.1764847801082929,0.15501502759550911,0.10590943365465885
training_mean,1,Zone_A4,43626,0.20041894313682976,0.1692541629567775,0.020138740069625218
training_mean,4,Zone_A5,37672,0.20907003312743602,0.17578424915010407,0.00708003765375105
training_mean,3,Zone_A6,37690,0.22690757809017575,0.18942291329355715,-0.02321391784912938
training_mean,2,Zone_A7,36217,0.2227423451426727,0.18643945680868065,-0.012355934820336112
training_mean,4,Zone_D,33843,0.1930624091121488,0.16592025571727334,0.02271333652861421
training_mean,4,Zone_J1,31183,0.2418765335450474,0.20057388562749637,-0.03637350507165684
training_mean,1,Zone_J2,34993,0.18359420006465807,0.15920951057575544,0.04859652583646989
training_mean,4,Zone_L2,25523,0.1910303881164935,0.1690651317718635,0.022379163034746973
ghi_physics,3,Indoor_Sport_Center,36201,0.13407533611927147,0.08352624433924359,-0.005180584643284774
ghi_physics,3,LSK_North,45453,0.13065094571571342,0.08520181979049836,-0.055716662884459776
ghi_physics,4,LSK_South,43093,0.14356991176672027,0.09504943327370063,-0.07082577654884713
ghi_physics,4,Library,26626,0.11332010981322903,0.07112591316799156,0.00872626609893417
ghi_physics,1,SQ1,45224,0.12276440409813594,0.07850738247568721,-0.03869574061964055
ghi_physics,3,SQ2,45455,0.12429546550417193,0.07798099976839824,-0.04096409953418981
ghi_physics,1,SQ3,45458,0.12239985503220008,0.07528042317472443,-0.03276126428743411
ghi_physics,5,SQ4,45460,0.13552722164075404,0.08639904758545516,-0.056946034920887435
ghi_physics,2,SQ567,43841,0.13172442170182158,0.08444567980676776,-0.053283506591273816
ghi_physics,2,SQ_Apartment13_24,42174,0.12891194651561066,0.08177134256631724,-0.04402876863974987
ghi_physics,5,SQ_Apartment1_12,42169,0.1307789635258849,0.08367151970719935,-0.04426279488906021
ghi_physics,3,SQ_Apartment25_36,42173,0.12996432669854466,0.08328747166098158,-0.04132755422704623
ghi_physics,2,SQ_Apartment37_48,41930,0.12644730815547542,0.0803045017736683,-0.03130471216785532
ghi_physics,1,SQ_Block_P,7922,0.11543629454290517,0.06628539007682001,0.019205188515203732
ghi_physics,5,SQ_Block_R,37678,0.13298138834253154,0.083978198602361,-0.039343969271597404
ghi_physics,2,SQ_Block_S,37688,0.12937011927527223,0.08172783946439759,-0.02748246376895838
ghi_physics,2,S_H_Ho_Sports_Hall,35975,0.14209189861901395,0.0866852425560704,0.035917575700408114
ghi_physics,1,Shaw_Auditorium,6711,0.08883641827515375,0.049296181399147376,0.00863614736945026
ghi_physics,5,UG_Hall2_2F,43291,0.13722105565337475,0.0847169448366542,0.06226273377173474
ghi_physics,2,UG_Hall2_RF,43024,0.13343102173576585,0.08644293102597517,-0.011793151217291917
ghi_physics,5,UG_Hall3,43550,0.1302403280255262,0.08215244684235214,-0.042107976336061115
ghi_physics,3,UG_Hall4,43835,0.11287790898228091,0.07233017398875381,-0.04060392427681938
ghi_physics,5,UG_Hall6,45440,0.1247073452393468,0.0792980416573378,-0.04324065285496217
ghi_physics,4,UG_Hall7,45456,0.1135726441880158,0.0716043568486763,-0.002780387307464492
ghi_physics,2,UG_Hall8,14689,0.08590250302814935,0.04741316446894014,0.013536494984588514
ghi_physics,1,UG_Hall9,15560,0.10220149779771048,0.05727638781290592,0.0015530884028960078
