fold,n_train_rows,n_test_rows,n_assigned_train_systems,n_train_systems_with_past_rows,n_test_systems,train_end,test_start,observation_mean,prediction_mean,nRMSE,MAE,MBE,model
1,639218,117255,29,28,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21682161508676132,0.22930305455178332,0.2095299023634492,0.17713398641931988,0.012481439465022042,training_mean
2,595913,133631,29,26,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21164017234960097,0.2269899375230118,0.20900289476035214,0.17689371526925557,0.015349765173410872,training_mean
3,585440,122201,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.22090887836451167,0.2257238406036541,0.2101761299192803,0.17745291994493345,0.004814962239142345,training_mean
4,631925,117501,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21385954135528026,0.22860693671211416,0.20616364629189526,0.17491376038674564,0.01474739535683388,training_mean
5,578784,121783,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.2097566628885938,0.23412917680172066,0.21315776152360602,0.18171052066192056,0.024372513913126996,training_mean
1,639218,117255,29,28,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21682161508676132,0.22847091180160112,0.16771040601475654,0.12050675676224196,0.01164929671483982,time_solar_only
2,595913,133631,29,26,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21164017234960097,0.225692092090367,0.16632494772549594,0.11853867339823568,0.014051919740766021,time_solar_only
3,585440,122201,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.22090887836451167,0.22310094975120612,0.164471040701007,0.11743843821717807,0.0021920713866944758,time_solar_only
4,631925,117501,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21385954135528026,0.22561470395711244,0.16325790060849543,0.11436402691291847,0.011755162601832228,time_solar_only
5,578784,121783,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.2097566628885938,0.23232504838182583,0.17358616498428897,0.12501375959954256,0.02256838549323205,time_solar_only
1,639218,117255,29,28,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21682161508676132,0.28583006816949164,0.1371130956294329,0.09975279501029388,0.0690084530827303,model_a_weather
2,595913,133631,29,26,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21164017234960097,0.2797617080580397,0.1371830991727555,0.09983112402822583,0.06812153570843875,model_a_weather
3,585440,122201,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.22090887836451167,0.2766016770643794,0.12239093100735839,0.08987776625164955,0.05569279869986776,model_a_weather
4,631925,117501,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21385954135528026,0.28128040287520856,0.13091533175464695,0.0966490320254503,0.06742086151992835,model_a_weather
5,578784,121783,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.2097566628885938,0.2871688334599238,0.1489532965487747,0.10850966827107343,0.07741217057132997,model_a_weather
1,639218,117255,29,28,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21682161508676132,0.2509324386299073,0.11729374563006008,0.08349352680623975,0.03411082354314594,model_c_weather_time
2,595913,133631,29,26,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21164017234960097,0.25007352783808756,0.11707802472188861,0.08439105952614764,0.03843335548848658,model_c_weather_time
3,585440,122201,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.22090887836451167,0.24437841232099664,0.10850830533824124,0.07751178519668141,0.023469533956484993,model_c_weather_time
4,631925,117501,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21385954135528026,0.2487669616143437,0.11044665716000467,0.08045037614805489,0.03490742025906348,model_c_weather_time
5,578784,121783,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.2097566628885938,0.2536078798402909,0.12982068886802864,0.09396229899703525,0.043851216951697,model_c_weather_time
1,639218,117255,29,28,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21682161508676132,0.25047836943993224,0.11486685329290819,0.08015685008158735,0.033656754353170934,model_b_hybrid
2,595913,133631,29,26,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21164017234960097,0.24864582783848782,0.11307793645618129,0.07940161310028987,0.037005655488886874,model_b_hybrid
3,585440,122201,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.22090887836451167,0.2472078982579086,0.10252328624254681,0.07069018431854886,0.026299019893396995,model_b_hybrid
4,631925,117501,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21385954135528026,0.24545196112002415,0.1068816314453539,0.07646762607506283,0.031592419764743924,model_b_hybrid
5,578784,121783,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.2097566628885938,0.2541743241017464,0.12596611447390071,0.08889762098901778,0.04441766121315254,model_b_hybrid
1,639218,117255,29,28,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21682161508676132,0.2469156624046095,0.11630541673918113,0.08241546820540047,0.030094047317848243,model_d_weather_time_physics
2,595913,133631,29,26,8,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21164017234960097,0.24420497509847486,0.11558892083756314,0.08259198203033642,0.03256480274887388,model_d_weather_time_physics
3,585440,122201,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.22090887836451167,0.24072573093053726,0.10788494103378983,0.07586719195779719,0.019816852566025615,model_d_weather_time_physics
4,631925,117501,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.21385954135528026,0.24266203652748417,0.11059672843942031,0.07976148456642315,0.028802495172203985,model_d_weather_time_physics
5,578784,121783,30,26,7,2022-12-31 17:45:00+08:00,2023-01-01 07:15:00+08:00,0.2097566628885938,0.24891238187688036,0.12858669198996706,0.0924611134245293,0.03915571898828656,model_d_weather_time_physics
