comparison,metric,reference_model,candidate_model,n_systems,reference_macro_mean,candidate_macro_mean,candidate_minus_reference,difference_ci95_low,difference_ci95_high,candidate_better_systems,ties,relative_error_reduction_pct,relative_reduction_ci95_low,relative_reduction_ci95_high
hybrid_vs_weather,nRMSE,model_a_weather,model_b_hybrid,37,0.13304780873896083,0.11143215448742531,-0.0216156542515355,-0.025085102232330122,-0.01815780543549208,37,0,16.246531571177787,14.194428536391275,18.160113221234134
hybrid_vs_weather,MAE,model_a_weather,model_b_hybrid,37,0.09856574147374286,0.07899582788857809,-0.019569913585164758,-0.021931889509667252,-0.017109339198308454,37,0,19.854681040854384,18.026668172062614,21.56983531332595
hybrid_vs_weather,MBE,model_a_weather,model_b_hybrid,37,0.06703964461818993,0.03360729232258443,-0.033432352295605504,-0.03514817394680333,-0.032068010320520444,37,0,,,
time_control_vs_weather,nRMSE,model_a_weather,model_c_weather_time,37,0.13304780873896083,0.11563173531312076,-0.01741607342584005,-0.02121868827059115,-0.013794008456199429,35,0,13.090086631949207,10.802694435740865,15.229142064124263
time_control_vs_weather,MAE,model_a_weather,model_c_weather_time,37,0.09856574147374286,0.08380510677709255,-0.01476063469665031,-0.017263634532114117,-0.012340176650771015,37,0,14.975420948446306,13.034232381229673,16.796394782913293
time_control_vs_weather,MBE,model_a_weather,model_c_weather_time,37,0.06703964461818993,0.03400764434634282,-0.033032000271847106,-0.034660307374385524,-0.03178134989980764,37,0,,,
hybrid_vs_time_control,nRMSE,model_c_weather_time,model_b_hybrid,37,0.11563173531312076,0.11143215448742531,-0.0041995808256954465,-0.00491185489282086,-0.003458387229194204,34,0,3.6318583426283,2.8920321010065186,4.3644087758393795
hybrid_vs_time_control,MAE,model_c_weather_time,model_b_hybrid,37,0.08380510677709255,0.07899582788857809,-0.004809278888514448,-0.0053528443446990885,-0.0042554040378973024,37,0,5.73864657353916,4.937754400540956,6.55699830491596
hybrid_vs_time_control,MBE,model_c_weather_time,model_b_hybrid,37,0.03400764434634282,0.03360729232258443,-0.00040035202375838364,-0.0010367462538153052,0.00024299085707734416,22,0,,,
model_d_vs_time_control,nRMSE,model_c_weather_time,model_d_weather_time_physics,37,0.11563173531312076,0.11484917375106482,-0.0007825615620559824,-0.0014653031269596993,-0.00010450491765875507,23,0,0.6767705768116644,0.09071764035551143,1.237961274010632
model_d_vs_time_control,MAE,model_c_weather_time,model_d_weather_time_physics,37,0.08380510677709255,0.08246857124792348,-0.00133653552916905,-0.0019060780195463718,-0.0007430089835465396,29,0,1.5948139446012861,0.9038631925139811,2.2277964288263776
model_d_vs_time_control,MBE,model_c_weather_time,model_d_weather_time_physics,37,0.03400764434634282,0.029177210363920982,-0.004830433982421829,-0.005177634335934427,-0.00446466734907561,37,0,,,
model_d_vs_hybrid,nRMSE,model_b_hybrid,model_d_weather_time_physics,37,0.11143215448742531,0.11484917375106482,0.0034170192636394647,0.0022644660935142225,0.0044844947867824754,7,0,-3.0664571454777927,-4.1707584425285065,-1.9517985306265158
model_d_vs_hybrid,MAE,model_b_hybrid,model_d_weather_time_physics,37,0.07899582788857809,0.08246857124792348,0.0034727433593453975,0.00268687504118488,0.004190655793243535,5,0,-4.396109835374618,-5.51549107407865,-3.2491245633408674
model_d_vs_hybrid,MBE,model_b_hybrid,model_d_weather_time_physics,37,0.03360729232258443,0.029177210363920982,-0.004430081958663444,-0.004866018869893829,-0.0039988625108754675,37,0,,,
