model,fold,station,n_test_rows,nRMSE,MAE,MBE
training_mean,3,Indoor_Sport_Center,17465,0.22049185329864038,0.18717461395869994,0.005878878651215829
training_mean,3,LSK_North,17465,0.21758463619346188,0.18298838315793473,-0.010936387546763049
training_mean,4,LSK_South,15101,0.22778601831524023,0.1900230955961063,-0.016964512862605603
training_mean,4,Library,16495,0.2008425851858352,0.16959817857725726,0.02156755258311987
training_mean,1,SQ1,17231,0.20861570130194823,0.17753695142225462,0.007281452503735775
training_mean,3,SQ2,17467,0.21284461715788644,0.17786646555280292,0.0029761803496051384
training_mean,1,SQ3,17467,0.21819479065309644,0.18328888354031633,-0.0042668714992255725
training_mean,5,SQ4,17467,0.2258432678110296,0.1897017372121145,-0.0076492691490894806
training_mean,2,SQ567,17467,0.22172457287495434,0.18678696722487736,-0.0096174773374428
training_mean,2,SQ_Apartment13_24,17443,0.222042193537716,0.18719086728527295,-0.005385652187526461
training_mean,5,SQ_Apartment1_12,17444,0.2240738902098846,0.1897563794768968,-0.0003995280134123789
training_mean,3,SQ_Apartment25_36,17442,0.21114051567517517,0.17930613477938992,0.005902893718857745
training_mean,2,SQ_Apartment37_48,17341,0.2081825406205287,0.1760697411815416,0.012161027186907845
training_mean,1,SQ_Block_P,7922,0.2271531784163746,0.1884553893388422,-0.01306534249093754
training_mean,5,SQ_Block_R,17464,0.21854800868574475,0.18561711036432796,0.005985882223762011
training_mean,2,SQ_Block_S,17466,0.2084113291250359,0.17577898010111923,0.013090308474995831
training_mean,2,S_H_Ho_Sports_Hall,15743,0.18671722237936594,0.16085034234056766,0.06818800515744151
training_mean,1,Shaw_Auditorium,6711,0.21358721634207273,0.1802168874057552,-0.010158477661973754
training_mean,5,UG_Hall2_2F,17467,0.17603656839212314,0.15665944709624247,0.10611654386349051
training_mean,2,UG_Hall2_RF,17358,0.18849127334806598,0.16221889176480134,0.04735295891659976
training_mean,5,UG_Hall3,17467,0.22526288604299838,0.19189373137054,0.005461337346410508
training_mean,3,UG_Hall4,17468,0.21235122723387923,0.17865321397402498,0.0007371522209263146
training_mean,5,UG_Hall6,17460,0.21763841593147695,0.18414745035230567,0.00427180397739319
training_mean,4,UG_Hall7,17465,0.18249156473128808,0.1566064767355698,0.04790101161253783
training_mean,2,UG_Hall8,14689,0.2268685436046181,0.1894131533188958,-0.01540391616108771
training_mean,1,UG_Hall9,15560,0.2414875614421756,0.20020628734913437,-0.030711878048980124
training_mean,1,Wong_Check_She_Research_Centre,17456,0.2088450935497371,0.17866535665545477,0.0030638058424561038
training_mean,3,Zone_A1,17435,0.17950414304555748,0.15438544194458806,0.03158912602023116
training_mean,5,Zone_A2,17014,0.19959882160730025,0.17401032934398208,0.0576397682544405
training_mean,1,Zone_A4,17459,0.1953308144565185,0.16767870668667093,0.035824097655822715
training_mean,4,Zone_A5,17468,0.20747026589870143,0.17534635168301702,0.017151439771251595
training_mean,3,Zone_A6,17459,0.2145710533458026,0.1817602295041927,-0.002397251166880974
training_mean,2,Zone_A7,16124,0.20638586127355643,0.17718757693341858,0.01267966235413269
training_mean,4,Zone_D,17439,0.20765427855683738,0.17548989615443117,0.01256097163671972
training_mean,4,Zone_J1,16233,0.2279514101762836,0.1926445356793285,-0.01481754147892204
training_mean,1,Zone_J2,17449,0.1720509563285281,0.15160327102680446,0.0792706295112719
training_mean,4,Zone_L2,17300,0.18874189945897987,0.16762033542595403,0.029973865862449284
time_solar_only,3,Indoor_Sport_Center,17465,0.16951487551607688,0.12354314300827691,0.0032424178821881034
time_solar_only,3,LSK_North,17465,0.16935032958083038,0.12363435499127089,-0.013531097047322747
time_solar_only,4,LSK_South,15101,0.17802730739945719,0.13017447825835748,-0.027993736198786093
time_solar_only,4,Library,16495,0.16511163267845225,0.11463262702928273,0.020959685479506315
time_solar_only,1,SQ1,17231,0.1634686117352169,0.11711321482361713,0.005350541845194038
time_solar_only,3,SQ2,17467,0.16387676083609465,0.11539924196625302,0.00035607560090919374
time_solar_only,1,SQ3,17467,0.16946135111490282,0.12316885304178792,-0.006548167257630959
time_solar_only,5,SQ4,17467,0.17610977860748062,0.12803985932204487,-0.009606443619158122
time_solar_only,2,SQ567,17467,0.17116720061996307,0.12399431556370179,-0.011738652263132818
time_solar_only,2,SQ_Apartment13_24,17443,0.17280459318415314,0.12421056241491697,-0.007692828620667123
time_solar_only,5,SQ_Apartment1_12,17444,0.17415244456894163,0.12498163774360664,-0.0025350559656395926
time_solar_only,3,SQ_Apartment25_36,17442,0.16494363508500248,0.11712037505187813,0.0031287096923373887
time_solar_only,2,SQ_Apartment37_48,17341,0.16336705036749727,0.11543789381101617,0.010986171465904577
time_solar_only,1,SQ_Block_P,7922,0.16847195676500293,0.11963331297711662,-0.009194972627139256
time_solar_only,5,SQ_Block_R,17464,0.1721502320057692,0.12339520603678056,0.004047647010224827
time_solar_only,2,SQ_Block_S,17466,0.16385241327508498,0.11561907933377831,0.010981935353626142
time_solar_only,2,S_H_Ho_Sports_Hall,15743,0.1647494214127944,0.11865196354020634,0.06229616203926782
time_solar_only,1,Shaw_Auditorium,6711,0.1642430578418429,0.12055627626465658,-0.00988762304891
time_solar_only,5,UG_Hall2_2F,17467,0.17306650210386673,0.1267932354938853,0.10415936939342188
time_solar_only,2,UG_Hall2_RF,17358,0.1575424775939461,0.10933140177963054,0.04643819668013494
time_solar_only,5,UG_Hall3,17467,0.17311009581294773,0.12347690320153704,0.0035041628763418675
time_solar_only,3,UG_Hall4,17468,0.1625267690559976,0.1162325055209966,-0.0018926096768606888
time_solar_only,5,UG_Hall6,17460,0.16707445819288122,0.1184966653619428,0.0023635289079911056
time_solar_only,4,UG_Hall7,17465,0.1467032493090627,0.09826584981073092,0.04571479138565992
time_solar_only,2,UG_Hall8,14689,0.1750447689968843,0.1286273345021218,-0.0093318882705348
time_solar_only,1,UG_Hall9,15560,0.1860061553008995,0.13756846137625728,-0.026754070986292948
